chapter_name,chapter_indx,chapter_indy,video_name,name,length,video_indx,video_indy,html_name,html_indx,html_indy,discussion_name,discussion_indx,discussion_indy,problem_name,name,type,problem_indx,problem_indy
ชวนคุยหลังเรียน,50,1,"Name: ส่วนผสมของวัตถุดิบ<br>
Video Length: 105 sec",ส่วนผสมของวัตถุดิบ,105,20,1,,,,,,,,,,,
แบบทดสอบหลังเรียน,52,1,"Name: ขั้นตอนการอัดแท่ง<br>
Video Length: 376 sec",ขั้นตอนการอัดแท่ง,376,21,1,,,,,,,,,,,
แบบสำรวจหลังเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),54,1,"Name: การผลิตถ่านกัมมันต์<br>
Video Length: 333 sec",การผลิตถ่านกัมมันต์,333,23,1,,,,,,,,,,,
,,,"Name: การเตรียมวัตถุดิบ<br>
Video Length: 424 sec",การเตรียมวัตถุดิบ,424,24,1,,,,,,,,,,,
,,,"Name: วิธีการผลิตถ่านกัมมันต์<br>
Video Length: 229 sec",วิธีการผลิตถ่านกัมมันต์,229,25,1,,,,,,,,,,,
,,,"Name: เครื่องมือในการผลิตถ่านกัมมันต์<br>
Video Length: 481 sec",เครื่องมือในการผลิตถ่านกัมมันต์,481,26,1,,,,,,,,,,,
,,,"Name: การวิเคราะห์ถ่านกัมมันต์<br>
Video Length: 242 sec",การวิเคราะห์ถ่านกัมมันต์,242,27,1,,,,,,,,,,,
,,,"Name: ช่วงที่ 1<br>
Video Length: 506 sec",ช่วงที่ 1,506,29,1,,,,,,,,,,,
,,,"Name: ช่วงที่ 2<br>
Video Length: 551 sec",ช่วงที่ 2,551,30,1,,,,,,,,,,,
,,,"Name: ช่วงที่ 3<br>
Video Length: 382 sec",ช่วงที่ 3,382,31,1,,,,,,,,,,,
,,,"Name: ช่วงที่ 4<br>
Video Length: 375 sec",ช่วงที่ 4,375,32,1,,,,,,,,,,,
,,,"Name: ช่วงที่ 5<br>
Video Length: 636 sec",ช่วงที่ 5,636,33,1,,,,,,,,,,,
,,,"Name: ช่วงที่ 6<br>
Video Length: 383 sec",ช่วงที่ 6,383,34,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 1-1<br>
Video Length: 129 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 1-1,129,36,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 1-2<br>
Video Length: 557 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 1-2,557,37,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 1-3<br>
Video Length: 615 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 1-3,615,38,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 1-4<br>
Video Length: 615 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 1-4,615,39,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 1-5<br>
Video Length: 642 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 1-5,642,40,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 2-1<br>
Video Length: 611 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 2-1,611,41,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 2-2<br>
Video Length: 595 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 2-2,595,42,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 2-3<br>
Video Length: 581 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 2-3,581,43,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 2-4<br>
Video Length: 520 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 2-4,520,44,1,,,,,,,,,,,
,,,"Name: ทบทวนความรู้ความเข้าใจช่วงที่ 2-5<br>
Video Length: 387 sec",ทบทวนความรู้ความเข้าใจช่วงที่ 2-5,387,45,1,,,,,,,,,,,
