chapter_name,chapter_indx,chapter_indy,video_name,name,length,video_indx,video_indy,html_name,html_indx,html_indy,discussion_name,discussion_indx,discussion_indy,problem_name,name,type,problem_indx,problem_indy
แนะนำ THAI MOOC,1,1,"Name: แนะนำ THAI MOOC<br>
Video Length: 105 sec",แนะนำ THAI MOOC,105,2,1,คำแนะนำในการใช้สื่อบทเรียน,5,1,เปิดโอกาสให้ผู้เรียนพูดคุยแลกเปลี่ยนระหว่างกัน,51,1,"Name: แบบทดสอบก่อนเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบก่อนเรียน,Multiple Choice Problem,8,1
เริ่มต้นก่อนเรียนรู้,3,1,"Name: แนะนำบทเรียน<br>
Video Length: 127 sec",แนะนำบทเรียน,127,4,1,เนื้อหาวิชา,6,1,,,,"Name: กิจกรรมท้ายบทเรียน<br>
Problem Type: Checkbox Problem",กิจกรรมท้ายบทเรียน,Checkbox Problem,47,1
แบบทดสอบก่อนเรียน,7,1,"Name: ชนิดและวัสดุที่นำมาเป็นวัตถุดิบ<br>
Video Length: 144 sec",ชนิดและวัสดุที่นำมาเป็นวัตถุดิบ,144,10,1,เอกสารประกอบ,48,1,,,,"Name: แบบทดสอบหลังเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบหลังเรียน,Multiple Choice Problem,53,1
ชนิดและวัสดุที่นำมาเป็นวัตถุดิบ,9,1,"Name: การหาค่าโดยประมาณของวัตถุดิบ<br>
Video Length: 475 sec",การหาค่าโดยประมาณของวัตถุดิบ,475,11,1,งานวิจัยที่เกี่ยวข้อง,49,1,,,,,,,,
การคอร์บอไนซ์,12,1,"Name: การคาร์บอไนซ์<br>
Video Length: 362 sec",การคาร์บอไนซ์,362,13,1,เปิดโอกาสให้ผู้เรียนพูดคุยแลกเปลี่ยนระหว่างกัน,51,1,,,,,,,,
การผลิตถ่านอัดแท่ง,18,1,"Name: การคาร์บอไนซ์ถ่านกะลาและถ่านไม้<br>
Video Length: 404 sec",การคาร์บอไนซ์ถ่านกะลาและถ่านไม้,404,14,1,แบบสำรวจหลังเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),55,1,,,,,,,,
การผลิตถ่านกัมมันต์,22,1,"Name: การคาร์บอไนซ์ถ่านหิน<br>
Video Length: 457 sec",การคาร์บอไนซ์ถ่านหิน,457,15,1,,,,,,,,,,,
กรณีศึกษา โรงงานผลิตถ่านอัดแท่ง,28,1,"Name: การหาค่าประมาณของถ่านชาร์<br>
Video Length: 557 sec",การหาค่าประมาณของถ่านชาร์,557,16,1,,,,,,,,,,,
ทบทวนความรู้ความเข้าใจ,35,1,"Name: การหาค่าความร้อนของถ่านชาร์<br>
Video Length: 381 sec",การหาค่าความร้อนของถ่านชาร์,381,17,1,,,,,,,,,,,
กิจกรรมท้ายบทเรียน,46,1,"Name: การผลิตถ่านอัดแท่ง<br>
Video Length: 152 sec",การผลิตถ่านอัดแท่ง,152,19,1,,,,,,,,,,,
