,Course Name,Course Number,Student ID,Grade,Certificate Eligible,Certificate Delivered,Pass,Attempt,learner cluster
101,General Physics I,ku002,152615,0.0,0,0,0,0.0,0
102,General Physics I,ku002,152676,0.0,0,0,0,0.0,0
103,General Physics I,ku002,152976,0.0,0,0,0,0.0,0
104,General Physics I,ku002,152981,0.0,0,0,0,0.0,0
105,General Physics I,ku002,153040,0.0,0,0,0,0.0,0
106,General Physics I,ku002,153088,0.0,0,0,0,0.0,0
107,General Physics I,ku002,153106,0.0,0,0,0,0.0,0
108,General Physics I,ku002,153152,0.16,0,0,0,0.27,2
109,General Physics I,ku002,153169,0.0,0,0,0,0.0,0
110,General Physics I,ku002,153230,0.0,0,0,0,0.0,0
111,General Physics I,ku002,107018,0.0,0,0,0,0.0,0
112,General Physics I,ku002,153254,0.0,0,0,0,0.0,0
113,General Physics I,ku002,153467,0.0,0,0,0,0.0,0
114,General Physics I,ku002,132678,0.0,0,0,0,0.0,0
115,General Physics I,ku002,152316,0.0,0,0,0,0.0,0
116,General Physics I,ku002,154312,0.0,0,0,0,0.0,0
117,General Physics I,ku002,154367,0.0,0,0,0,0.0,0
118,General Physics I,ku002,122929,0.0,0,0,0,0.0,0
119,General Physics I,ku002,154741,0.0,0,0,0,0.0,0
120,General Physics I,ku002,155193,0.0,0,0,0,0.0,0
121,General Physics I,ku002,155214,0.0,0,0,0,0.0,0
122,General Physics I,ku002,155446,0.0,0,0,0,0.0,0
123,General Physics I,ku002,92031,0.0,0,0,0,0.0,0
124,General Physics I,ku002,156026,0.0,0,0,0,0.0,0
125,General Physics I,ku002,12969,0.0,0,0,0,0.0,0
126,General Physics I,ku002,156514,0.0,0,0,0,0.0,0
127,General Physics I,ku002,131892,0.0,0,0,0,0.0,0
128,General Physics I,ku002,156598,0.07,0,0,0,0.13,0
129,General Physics I,ku002,156681,0.0,0,0,0,0.0,0
130,General Physics I,ku002,156529,0.0,0,0,0,0.0,0
131,General Physics I,ku002,154004,0.0,0,0,0,0.0,0
132,General Physics I,ku002,142441,0.0,0,0,0,0.0,0
133,General Physics I,ku002,156769,0.0,0,0,0,0.0,0
134,General Physics I,ku002,155865,0.93,1,1,1,0.93,1
135,General Physics I,ku002,157038,0.0,0,0,0,0.0,0
136,General Physics I,ku002,157081,0.0,0,0,0,0.0,0
137,General Physics I,ku002,157318,0.0,0,0,0,0.0,0
138,General Physics I,ku002,157033,0.0,0,0,0,0.0,0
139,General Physics I,ku002,154540,0.0,0,0,0,0.0,0
140,General Physics I,ku002,156962,0.0,0,0,0,0.0,0
