,Unnamed: 0,Course Name,Course Number,Student ID,Grade,Certificate Eligible,Certificate Delivered,Pass,Attempt,learner cluster,c_length,Evaluate,Learner Type
61,61,General Physics I,ku002,141247,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
62,62,General Physics I,ku002,107900,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
63,63,General Physics I,ku002,149121,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
64,64,General Physics I,ku002,149131,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
65,65,General Physics I,ku002,67230,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
66,66,General Physics I,ku002,149217,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
67,67,General Physics I,ku002,149920,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
68,68,General Physics I,ku002,149922,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
69,69,General Physics I,ku002,149926,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
70,70,General Physics I,ku002,149932,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
71,71,General Physics I,ku002,149980,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
72,72,General Physics I,ku002,150104,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
73,73,General Physics I,ku002,150147,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
74,74,General Physics I,ku002,150009,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
75,75,General Physics I,ku002,150318,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
76,76,General Physics I,ku002,5517,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
77,77,General Physics I,ku002,150363,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
78,78,General Physics I,ku002,150550,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
79,79,General Physics I,ku002,150747,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
80,80,General Physics I,ku002,150565,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
81,81,General Physics I,ku002,151102,0.0,0,0,0,0.0,0,Long,0: Not Pass,0: Sampling
