,Unnamed: 0,Course Name,Course Number,Student ID,Grade,Certificate Eligible,Certificate Delivered,Pass,Attempt,learner cluster,c_length,Evaluate,Learner Type
926,926,Product Design for Entrepreneur,stou007,56232,0.0,0,0,0,0.1,0,Short,0: Not Pass,0: Sampling
927,927,Product Design for Entrepreneur,stou007,99796,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
928,928,Product Design for Entrepreneur,stou007,67925,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
929,929,Product Design for Entrepreneur,stou007,99902,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
930,930,Product Design for Entrepreneur,stou007,10605,0.0,0,0,0,0.2,0,Short,0: Not Pass,0: Sampling
931,931,Product Design for Entrepreneur,stou007,74540,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
932,932,Product Design for Entrepreneur,stou007,48614,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
933,933,Product Design for Entrepreneur,stou007,96300,0.98,1,1,1,1.0,1,Short,1: Pass,1: Comprehensive
934,934,Product Design for Entrepreneur,stou007,100120,0.0,0,0,0,0.1,0,Short,0: Not Pass,0: Sampling
935,935,Product Design for Entrepreneur,stou007,59309,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
936,936,Product Design for Entrepreneur,stou007,48359,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
937,937,Product Design for Entrepreneur,stou007,61554,0.2,0,0,0,0.3,2,Short,0: Not Pass,2: Targeting
938,938,Product Design for Entrepreneur,stou007,3508,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
939,939,Product Design for Entrepreneur,stou007,58518,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
940,940,Product Design for Entrepreneur,stou007,100313,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
941,941,Product Design for Entrepreneur,stou007,94260,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
